Ewe/V	<I>/mA	
-1.2005320E+000	-3.882769672795140E-003
-1.2036862E+000	-3.841022558032932E-003
-1.2067021E+000	-3.802633837949541E-003
-1.2097024E+000	-3.787386456614115E-003
-1.2129260E+000	-3.802736041312264E-003
-1.2161800E+000	-3.817540039238204E-003
-1.2191311E+000	-3.805550893373186E-003
-1.2221103E+000	-3.760318353995123E-003
-1.2253320E+000	-3.724219143480575E-003
-1.2284235E+000	-3.734655352023525E-003
-1.2315649E+000	-3.750052854586870E-003
-1.2346925E+000	-3.754520548617231E-003
-1.2377739E+000	-3.718637262831434E-003
-1.2407700E+000	-3.671453752109029E-003
-1.2436346E+000	-3.658075377188657E-003
-1.2466615E+000	-3.685955437796496E-003
-1.2498792E+000	-3.698878934528691E-003
-1.2528726E+000	-3.678327129884043E-003
-1.2560378E+000	-3.630468487829469E-003
-1.2591887E+000	-3.610139412590536E-003
-1.2623919E+000	-3.624550064192308E-003
-1.2653630E+000	-3.648678340726165E-003
-1.2686009E+000	-3.639972475964107E-003
-1.2717669E+000	-3.602936550610808E-003
-1.2746812E+000	-3.566919282548056E-003
-1.2777469E+000	-3.568892661892933E-003
-1.2807682E+000	-3.595033277049103E-003
-1.2839553E+000	-3.603513917044304E-003
-1.2866821E+000	-3.580365653306217E-003
-1.2899646E+000	-3.540253296283227E-003
-1.2930137E+000	-3.535587975485602E-003
-1.2966043E+000	-3.556512541990744E-003
-1.2990223E+000	-3.578720240246490E-003
-1.3005786E+000	-3.572475630789995E-003
-1.2988659E+000	-3.183238087233684E-003
-1.2959732E+000	-3.032767970055889E-003
-1.2926677E+000	-2.961465967830791E-003
-1.2896062E+000	-2.931830794100920E-003
-1.2863517E+000	-2.924198191327124E-003
-1.2833842E+000	-2.893528278588867E-003
-1.2803700E+000	-2.846066389338372E-003
-1.2772298E+000	-2.782695556204230E-003
-1.2742410E+000	-2.756909832182186E-003
-1.2711978E+000	-2.756220860387015E-003
-1.2681996E+000	-2.750577606613139E-003
-1.2650490E+000	-2.720270566617087E-003
-1.2621574E+000	-2.659673546726735E-003
-1.2588766E+000	-2.629774783534738E-003
-1.2557516E+000	-2.626621149699656E-003
-1.2525885E+000	-2.629763268454807E-003
-1.2495168E+000	-2.618497953965116E-003
-1.2463864E+000	-2.569328957601355E-003
-1.2435201E+000	-2.528821328009401E-003
-1.2404321E+000	-2.516781928859154E-003
-1.2371770E+000	-2.521274805530997E-003
-1.2343882E+000	-2.526948063335178E-003
-1.2312500E+000	-2.488777115299205E-003
-1.2282470E+000	-2.441841669224228E-003
-1.2249006E+000	-2.420018905695545E-003
-1.2219841E+000	-2.420410012259049E-003
-1.2188194E+000	-2.437638743860861E-003
-1.2156818E+000	-2.417713424977461E-003
-1.2125916E+000	-2.370436689781330E-003
-1.2094959E+000	-2.334275914141211E-003
-1.2065037E+000	-2.326206789234675E-003
-1.2032629E+000	-2.355283195898804E-003
-1.2000651E+000	-2.348523041096728E-003
-1.1971719E+000	-2.307482929657968E-003
-1.1942192E+000	-2.262366443281797E-003
-1.1910992E+000	-2.244581678236752E-003
-1.1881130E+000	-2.261071914710125E-003
-1.1850563E+000	-2.275208241404205E-003
-1.1819546E+000	-2.245716266608196E-003
-1.1784602E+000	-2.199722019716840E-003
-1.1757102E+000	-2.169766409890275E-003
-1.1724671E+000	-2.177046568301817E-003
-1.1694996E+000	-2.196259129553773E-003
-1.1664872E+000	-2.187048525862725E-003
-1.1633860E+000	-2.150767298043584E-003
-1.1600976E+000	-2.102813162504651E-003
-1.1570587E+000	-2.097538695299868E-003
-1.1542203E+000	-2.117023753515107E-003
-1.1511214E+000	-2.122969394365874E-003
-1.1480108E+000	-2.089355376564786E-003
-1.1448843E+000	-2.041260089056002E-003
-1.1419016E+000	-2.027399070986854E-003
-1.1386999E+000	-2.038745378805676E-003
-1.1356745E+000	-2.056521104058046E-003
-1.1325821E+000	-2.035287240281441E-003
-1.1294333E+000	-1.990734358498354E-003
-1.1262805E+000	-1.962942757892533E-003
